"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"__imp__XNotifyGetNext","82000400","Data Label","Global","Imported","0","0"
"__imp__XamContentCreateEx","82000404","Data Label","Global","Imported","0","0"
"__imp__XamContentDelete","82000408","Data Label","Global","Imported","0","0"
"__imp__XamContentClose","8200040c","Data Label","Global","Imported","0","0"
"__imp__XamContentSetThumbnail","82000410","Data Label","Global","Imported","0","0"
"__imp__XamContentGetLicenseMask","82000414","Data Label","Global","Imported","0","0"
"__imp__XamContentCreateEnumerator","82000418","Data Label","Global","Imported","0","0"
"__imp__XamContentGetDeviceState","8200041c","Data Label","Global","Imported","0","0"
"__imp__XMsgStartIORequest","82000420","Data Label","Global","Imported","0","0"
"__imp__XamShowSigninUI","82000424","Data Label","Global","Imported","0","0"
"__imp__XamShowGamerCardUIForXUID","82000428","Data Label","Global","Imported","0","0"
"__imp__XamShowAchievementsUI","8200042c","Data Label","Global","Imported","0","0"
"__imp__XamShowMarketplaceUI","82000430","Data Label","Global","Imported","0","0"
"__imp__XamShowDeviceSelectorUI","82000434","Data Label","Global","Imported","0","0"
"__imp__Refresh","82000438","Data Label","Global","Imported","0","0"
"__imp__XamUserGetName","8200043c","Data Label","Global","Imported","0","0"
"__imp__XamUserGetSigninState","82000440","Data Label","Global","Imported","0","0"
"__imp__XamUserAreUsersFriends","82000444","Data Label","Global","Imported","0","0"
"__imp__XamUserCheckPrivilege","82000448","Data Label","Global","Imported","0","0"
"__imp__XamGetSystemVersion","8200044c","Data Label","Global","Imported","0","0"
"__imp__XamUserCreateStatsEnumerator","82000450","Data Label","Global","Imported","0","0"
"__imp__XamUserGetXUID","82000454","Data Label","Global","Imported","0","0"
"__imp__XamLoaderLaunchTitle","82000458","Data Label","Global","Imported","0","0"
"__imp__XamEnumerate","8200045c","Data Label","Global","Imported","0","0"
"__imp__XamNotifyCreateListener","82000460","Data Label","Global","Imported","0","0"
"__imp__XamShowMessageBoxUIEx","82000464","Data Label","Global","Imported","0","0"
"__imp__XGetLanguage","82000468","Data Label","Global","Imported","0","0"
"__imp__XGetAVPack","8200046c","Data Label","Global","Imported","0","0"
"__imp__XamLoaderTerminateTitle","82000470","Data Label","Global","Imported","0","0"
"__imp__XamGetExecutionId","82000474","Data Label","Global","Imported","0","0"
"__imp__XamInputSetState","82000478","Data Label","Global","Imported","0","0"
"__imp__XamInputGetState","8200047c","Data Label","Global","Imported","0","0"
"__imp__XamInputGetCapabilities","82000480","Data Label","Global","Imported","0","0"
"__imp__XamVoiceCreate","82000484","Data Label","Global","Imported","0","0"
"__imp__XamVoiceSubmitPacket","82000488","Data Label","Global","Imported","0","0"
"__imp__XMsgCancelIORequest","8200048c","Data Label","Global","Imported","0","0"
"__imp__XamVoiceClose","82000490","Data Label","Global","Imported","0","0"
"__imp__XamVoiceHeadsetPresent","82000494","Data Label","Global","Imported","0","0"
"__imp__NetDll_WSAGetLastError","82000498","Data Label","Global","Imported","0","0"
"__imp__NetDll_WSASendTo","8200049c","Data Label","Global","Imported","0","0"
"__imp__NetDll_WSARecvFrom","820004a0","Data Label","Global","Imported","0","0"
"__imp__NetDll_bind","820004a4","Data Label","Global","Imported","0","0"
"__imp__NetDll_setsockopt","820004a8","Data Label","Global","Imported","0","0"
"__imp__NetDll_ioctlsocket","820004ac","Data Label","Global","Imported","0","0"
"__imp__NetDll_socket","820004b0","Data Label","Global","Imported","0","0"
"__imp__NetDll_WSAStartup","820004b4","Data Label","Global","Imported","0","0"
"__imp__XamAlloc","820004b8","Data Label","Global","Imported","0","0"
"__imp__XamFree","820004bc","Data Label","Global","Imported","0","0"
"__imp__XamUserWriteProfileSettings","820004c0","Data Label","Global","Imported","0","0"
"__imp__XamUserReadProfileSettings","820004c4","Data Label","Global","Imported","0","0"
"__imp__XMsgInProcessCall","820004c8","Data Label","Global","Imported","0","0"
"__imp__XamSessionCreateHandle","820004cc","Data Label","Global","Imported","0","0"
"__imp__XamSessionRefObjByHandle","820004d0","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetGetEthernetLinkStatus","820004d4","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetGetDebugXnAddr","820004d8","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetGetTitleXnAddr","820004dc","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetQosRelease","820004e0","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetQosServiceLookup","820004e4","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetQosLookup","820004e8","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetQosListen","820004ec","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetGetConnectStatus","820004f0","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetConnect","820004f4","Data Label","Global","Imported","0","0"
"__imp__NetDll_XNetUnregisterInAddr","820004f8","Data Label","Global","Imported","0","0"
